"","statistic","dm","p.value"
"nemA_b1650_st",-5.25008003290198,-0.49414190924378,0.00191964842897811
"nlpC_b1708_st",2.68185780280094,0.341239423596596,0.0364458127806975
"nmpC_b0553_st",-3.19567410331303,-0.878990354875205,0.018701865767018
"nuoE_b2285_st",-3.22804299162708,-0.29568317012226,0.0179546092189572
"nupC_b2393_st",-5.55290365558009,-0.785607129528021,0.0014422166173416
"nusB_b0416_st",-2.95726577359073,-0.295389781220326,0.0253727172363461
"ompT_b0565_st",-4.63963976399873,-2.67317811788438,0.00354181490703232
"oppA_b1243_st",7.97448919840252,2.97550909373865,0.000207101802167029
"oppB_b1244_st",9.36080525192336,2.9127414730528,8.43055984846741e-05
"oppC_b1245_st",5.5156412519862,2.14631412017458,0.00149296285896815
"oppD_b1246_st",9.76450835998647,1.94368594247359,6.63398556956696e-05
"oppF_b1247_st",5.21202201890306,1.46292829700537,0.00199150518944326
"osmY_b4376_st",3.76334812343847,0.512519211097896,0.00936160437194643
"pepD_b0237_st",2.92285577774007,0.67030258510191,0.0265325068504731
"phoH_b1020_st",2.99744165826098,0.69498650564362,0.0240876062080656
"pntA_b1603_st",-7.73422840461541,-1.58460278693894,0.000245301390530834
"pntB_b1602_st",-5.01310306246257,-1.47033738696831,0.00242058361403938
"potA_b1126_st",-2.90642033952746,-0.60291781533973,0.0271065844113168
"ppc_b3956_st",2.90869211581199,0.72145593573312,0.0270264396974685
"ppsA_b1702_st",-2.83672769214498,-0.244948536581241,0.0296942321761686
"prfC_b4375_st",-3.72083271397654,-0.561692436304506,0.0098426771638797
"proP_b4111_st",2.7249327879847,0.901823388589781,0.0344166566022143
"proV_b2677_st",2.72544241153931,0.783588542956213,0.0343933854452397
"ptsG_b1101_st",-5.03600512911578,-1.15639430777838,0.00236618904563128
"purD_b4005_st",-2.47093642557321,-0.424604042618162,0.0483962258357494
"purH_b4006_st",-2.44923689250688,-0.633126086625829,0.0498423732746457
"pyrG_b2780_st",-2.8122709638913,-0.325932441353151,0.0306643853565954
"rmf_b0953_st",7.85167660818359,2.70531010599955,0.000225696552016252
"rnpA_b3704_st",-4.05254174869948,-0.59769237500613,0.00670681534376434
"rplA_b3984_st",-2.75290132664345,-0.312323202960718,0.0331640972247782
"rplC_b3320_st",-3.89267396080268,-0.217932097461389,0.00805181204966294
"rplL_b3986_f_st",-2.54393388311344,-0.509288258183089,0.0438476893109114
"rplM_b3231_st",-5.35389080914302,-0.385473234893499,0.00173817148152604
"rpoA_b3295_st",-3.57907534794709,-0.225578797774213,0.0116560663791773
"rpoN_b3202_st",4.30268875882172,0.448290356467657,0.00507783828380316
"rpoS_b2741_st",2.78947837654161,0.803903628233117,0.0315992610620482
"rpsF_b4200_st",-2.61400963972563,-0.310361181106977,0.0399053153358472
"rpsI_b3230_st",-5.24154388457769,-0.509605273737108,0.00193550541953656
"rpsJ_b3321_st",-4.48098990452114,-0.278269143132215,0.00418796743397956
"rpsR_b4202_st",-2.64086085618351,-0.651544558465968,0.0384960929087818
"rpsU_b3065_st",-3.36044611728465,-0.602212213277284,0.0152212249337747
"sdhA_b0723_st",-5.37806382546464,-0.486740085584415,0.00169876688497178
"sdhD_b0722_st",-3.26812024390406,-0.85086804167994,0.0170743409208351
"serA_b2913_st",-14.9274224330105,-2.77632786182079,5.68975821583466e-06
"serC_b0907_st",-2.76058232090259,-0.705390053889783,0.0328287224779757
"sodA_b3908_st",-9.45749713066899,-1.50489383141497,7.95367876406862e-05
"speA_b2938_st",-2.64959832636556,-0.446999589745992,0.0380490341024935
"spr_b2175_st",-3.42912434035502,-0.587048921285501,0.0139861985453844
"stpA_b2669_st",-6.57471213202134,-1.78903257454306,0.000593776195291112
"sucB_b0727_st",-2.59273882619069,-0.5399213583784,0.0410605989367196
